Cell ID,Cell Type,Fr,h,modU,vel_0,vel_1,vel_2,vel_Magnitude,z
8280,9,0.976142,0.833991,2.79208,2.79208,1.38007e-05,0,2.79208,2.195
8281,9,0.976813,0.836403,2.79804,2.79804,1.37734e-05,0,2.79804,2.185
8282,9,0.977483,0.838813,2.80399,2.80399,1.37504e-05,0,2.80399,2.175
8283,9,0.978151,0.841221,2.80993,2.80993,1.3732e-05,0,2.80993,2.165
8284,9,0.978818,0.843627,2.81586,2.81586,1.3718e-05,0,2.81586,2.155
8285,9,0.979484,0.846031,2.82179,2.82179,1.37085e-05,0,2.82179,2.145
8286,9,0.980148,0.848432,2.82771,2.82771,1.37035e-05,0,2.82771,2.135
8287,9,0.980811,0.850831,2.83362,2.83362,1.37029e-05,0,2.83362,2.125
8288,9,0.981472,0.853228,2.83952,2.83952,1.37068e-05,0,2.83952,2.115
8289,9,0.982132,0.855623,2.84541,2.84541,1.3715e-05,0,2.84541,2.105
8290,9,0.982791,0.858015,2.8513,2.8513,1.37275e-05,0,2.8513,2.095
8291,9,0.983448,0.860405,2.85718,2.85718,1.37444e-05,0,2.85718,2.085
8292,9,0.984104,0.862793,2.86305,2.86305,1.37655e-05,0,2.86305,2.075
8293,9,0.984759,0.865179,2.86891,2.86891,1.37909e-05,0,2.86891,2.065
8294,9,0.985412,0.867563,2.87477,2.87477,1.38204e-05,0,2.87477,2.055
8295,9,0.986064,0.869944,2.88062,2.88062,1.38541e-05,0,2.88062,2.045
8296,9,0.986715,0.872324,2.88646,2.88646,1.38918e-05,0,2.88646,2.035
8297,9,0.987365,0.874701,2.89229,2.89229,1.39335e-05,0,2.89229,2.025
8298,9,0.988013,0.877076,2.89811,2.89811,1.39792e-05,0,2.89811,2.015
8299,9,0.98866,0.879448,2.90393,2.90393,1.40288e-05,0,2.90393,2.005
8300,9,0.989305,0.881819,2.90974,2.90974,1.40822e-05,0,2.90974,1.995
8301,9,0.98995,0.884187,2.91555,2.91555,1.41393e-05,0,2.91555,1.985
8302,9,0.990593,0.886553,2.92134,2.92134,1.42002e-05,0,2.92134,1.975
8303,9,0.991235,0.888917,2.92713,2.92713,1.42645e-05,0,2.92713,1.965
8304,9,0.991876,0.891279,2.93291,2.93291,1.43323e-05,0,2.93291,1.955
8305,9,0.992515,0.893638,2.93868,2.93868,1.44036e-05,0,2.93868,1.945
8306,9,0.993153,0.895995,2.94445,2.94445,1.44781e-05,0,2.94445,1.935
8307,9,0.99379,0.89835,2.95021,2.95021,1.45559e-05,0,2.95021,1.925
8308,9,0.994426,0.900703,2.95596,2.95596,1.46367e-05,0,2.95596,1.915
8309,9,0.995061,0.903054,2.9617,2.9617,1.47203e-05,0,2.9617,1.905
8310,9,0.995696,0.905402,2.96744,2.96744,1.48087e-05,0,2.96744,1.895
8311,9,0.996311,0.907758,2.97314,2.97314,1.4875e-05,0,2.97314,1.885
8312,9,0.997056,0.910033,2.97908,2.97908,1.51475e-05,0,2.97908,1.875
8313,9,0.997345,0.912584,2.98412,2.98412,1.45723e-05,0,2.98412,1.865
8314,9,0.997741,0.915069,2.98937,2.98937,1.44129e-05,0,2.98937,1.855
8315,9,0.997418,0.917998,2.99318,2.99318,1.38929e-05,0,2.99318,1.845
8316,9,0.998086,0.920319,2.99897,2.99897,1.39014e-05,0,2.99897,1.835
8317,9,0.997415,0.923469,3.00207,3.00207,1.34517e-05,0,3.00207,1.825
8318,9,0.99847,0.925554,3.00864,3.00864,1.35626e-05,0,3.00864,1.815
8319,9,0.997338,0.928998,3.01081,3.01081,1.3237e-05,0,3.01081,1.805
8320,9,0.998885,0.930777,3.01837,3.01837,1.33625e-05,0,3.01837,1.795
8321,9,0.99722,0.934563,3.01946,3.01946,1.32654e-05,0,3.01946,1.785
8322,9,0.999287,0.936016,3.02808,3.02808,1.32928e-05,0,3.02808,1.775
8323,9,0.997209,0.940073,3.02832,3.02832,1.33423e-05,0,3.02832,1.765
8324,9,0.999544,0.941356,3.03748,3.03748,1.33564e-05,0,3.03748,1.755
8325,9,0.997288,0.945538,3.03735,3.03735,1.34197e-05,0,3.03735,1.745
8326,9,0.999664,0.946792,3.0466,3.0466,1.3552e-05,0,3.0466,1.735
8327,9,0.997386,0.951001,3.04641,3.04641,1.36512e-05,0,3.04641,1.725
8328,9,0.999737,0.952268,3.05563,3.05563,1.38948e-05,0,3.05563,1.715
8329,9,0.997484,0.956477,3.05547,3.05547,1.4073e-05,0,3.05547,1.705
8330,9,0.999784,0.957774,3.06459,3.06459,1.44276e-05,0,3.06459,1.695
8331,9,0.99757,0.961971,3.06449,3.06449,1.46852e-05,0,3.06449,1.685
8332,9,0.99981,0.963305,3.0735,3.0735,1.51354e-05,0,3.0735,1.675
8333,9,0.997638,0.967489,3.07348,3.07348,1.54059e-05,0,3.07348,1.665
8334,9,0.999818,0.96886,3.08238,3.08238,1.57585e-05,0,3.08238,1.655
8335,9,0.997687,0.97303,3.08242,3.08242,1.58455e-05,0,3.08242,1.645
8336,9,0.999817,0.974428,3.09122,3.09122,1.59449e-05,0,3.09122,1.635
8337,9,0.997712,0.978584,3.09128,3.09128,1.59175e-05,0,3.09128,1.625
8338,9,0.999821,0.979986,3.10003,3.10003,1.59285e-05,0,3.10003,1.615
8339,9,0.997728,0.98413,3.10008,3.10008,1.5929e-05,0,3.10008,1.605
8340,9,0.999824,0.985523,3.10879,3.10879,1.60575e-05,0,3.10879,1.595
8341,9,0.997744,0.989658,3.10882,3.10882,1.61612e-05,0,3.10882,1.585
8342,9,0.999826,0.991043,3.11749,3.11749,1.63682e-05,0,3.11749,1.575
8343,9,0.997758,0.995171,3.11752,3.11752,1.64884e-05,0,3.11752,1.565
8344,9,0.999828,0.996551,3.12615,3.12615,1.66796e-05,0,3.12615,1.555
8345,9,0.997771,1.00067,3.12616,3.12616,1.67434e-05,0,3.12616,1.545
8346,9,1.00169,1.00081,3.13866,3.13866,1.56092e-05,0,3.13866,1.535
8347,9,0.986925,1.0136,3.11209,3.11209,-6.93768e-05,0,3.11209,1.525
8348,9,1.01081,1.00034,3.16648,3.16648,-1.54214e-05,0,3.16648,1.515
8349,9,0.987218,1.0189,3.12114,3.12114,-3.22988e-05,0,3.12114,1.505
8350,9,1.00063,1.0126,3.15375,3.15375,5.54268e-05,0,3.15375,1.495
8351,9,0.993719,1.02007,3.1435,3.1435,1.9199e-05,0,3.1435,1.485
8352,9,1.01057,1.01138,3.18315,3.18315,0.000233321,0,3.18315,1.475
8353,9,0.988593,1.02872,3.14051,3.14051,-0.000256584,0,3.14051,1.465
8354,9,1.00706,1.01896,3.18397,3.18397,0.000489271,0,3.18397,1.455
8355,9,0.999217,1.02713,3.17181,3.17181,-8.73274e-05,0,3.17181,1.445
